min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.86,2.15,8.50,2.30,2.90,1.50,1.35,2.75,1.50,1.47,2.35,1,1,1,3.00,0,0
2,1.78,2.15,10.5,2.15,3.00,1.50,1.40,2.55,1.50,1.60,2.00,1,1,1,3.10,0,0
3,1.78,2.15,10.5,2.15,3.00,1.50,1.40,2.55,1.50,1.60,2.00,1,1,1,3.10,0,0
4,1.78,2.15,10.5,2.15,3.00,1.50,1.40,2.55,1.50,1.60,2.00,1,1,1,3.10,0,0
5,1.78,2.15,10.5,2.15,3.00,1.50,1.40,2.55,1.50,1.60,2.00,1,1,1,3.10,0,0
6,1.78,2.15,10.0,2.15,3.00,1.50,1.40,2.60,1.50,1.58,2.05,1,1,1,3.10,0,0
7,1.78,2.15,10.0,2.20,3.00,1.50,1.39,2.60,1.50,1.57,2.10,1,1,1,3.10,0,0
8,1.79,2.15,9.50,2.20,3.00,1.50,1.38,2.65,1.50,1.55,2.10,1,1,1,3.10,0,0
9,1.79,2.15,9.50,2.20,3.00,1.50,1.37,2.70,1.50,1.54,2.15,1,1,1,3.05,0,0
10,1.80,2.20,9.00,2.20,3.00,1.50,1.36,2.70,1.50,1.53,2.15,1,1,1,3.05,0,0
11,1.80,2.20,9.00,2.20,3.00,1.50,1.35,2.75,1.50,1.51,2.20,1,1,1,3.00,0,0
12,1.81,2.20,9.00,2.20,3.05,1.50,1.34,2.80,1.50,1.50,2.25,1,1,1,3.00,0,0
13,1.81,2.20,8.50,2.20,3.05,0.50,2.80,1.34,1.50,1.49,2.30,1,1,1,3.00,0,0
14,1.82,2.20,8.50,2.25,3.05,0.50,2.80,1.34,1.50,1.47,2.30,1,1,1,3.00,0,0
15,1.82,2.20,8.00,2.25,3.05,0.50,2.75,1.35,1.50,1.46,2.35,1,1,1,2.95,0,0
16,1.83,2.20,8.00,2.30,3.05,0.50,2.70,1.36,1.50,1.45,2.40,1,1,1,2.95,0,0
