min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
1,1.99,1.99,9.00,2.55,2.55,1.50,1.37,2.70,1.50,1.37,2.70,1,1,1,3.10,0,0
2,1.99,1.99,9.00,2.55,2.55,1.50,1.37,2.70,1.50,1.37,2.70,1,1,1,3.10,0,0
3,1.99,1.99,9.00,5.50,1.43,2.50,1.37,2.70,1.50,1.37,2.70,3.50,1.56,2.10,4.00,1,0
4,1.99,1.99,9.00,4.30,1.60,1.50,2.75,1.36,1.50,1.51,2.20,3.50,1.63,1.97,3.70,1,0
5,1.99,1.99,9.00,4.30,1.60,1.50,2.75,1.36,1.50,1.51,2.20,3.50,1.63,1.97,3.70,1,0
6,1.99,1.99,9.00,4.30,1.60,1.50,2.70,1.37,1.50,1.50,2.25,3.50,1.61,2.00,3.70,1,0
7,1.99,1.99,9.00,4.35,1.59,1.50,2.65,1.37,1.50,1.49,2.25,3.50,1.59,2.00,3.65,1,0
8,1.99,1.99,9.00,4.35,1.59,1.50,2.60,1.38,1.50,1.48,2.30,3.50,1.57,2.05,3.65,1,0
9,1.99,1.99,9.00,4.45,1.58,1.50,2.60,1.39,1.50,1.46,2.35,3.50,1.55,2.10,3.65,1,0
10,1.99,1.99,9.00,4.50,1.58,1.50,2.55,1.40,1.50,1.45,2.40,3.50,1.53,2.15,3.60,1,0
11,1.99,1.99,9.00,4.55,1.58,1.50,2.50,1.41,1.50,1.44,2.40,3.50,1.52,2.20,3.60,1,0
12,1.99,1.99,9.00,4.60,1.57,1.50,2.50,1.42,1.50,1.43,2.45,3.50,1.50,2.25,3.60,1,0
13,1.99,1.99,9.00,4.60,1.57,1.50,2.45,1.43,1.50,1.42,2.50,3.50,1.48,2.30,3.60,1,0
14,1.99,1.99,9.00,4.65,1.56,1.50,2.45,1.44,1.50,1.41,2.50,3.50,1.47,2.35,3.60,1,0
15,1.99,1.99,9.00,4.75,1.56,1.50,2.40,1.45,1.50,1.40,2.55,3.50,1.45,2.40,3.60,1,0
16,1.99,1.99,9.00,4.80,1.55,1.50,2.40,1.45,1.50,1.39,2.60,3.50,1.44,2.40,3.60,1,0
17,1.99,1.99,9.00,4.85,1.55,1.50,2.35,1.46,1.50,1.38,2.65,1,1,1,3.55,1,0
18,1.99,1.99,9.00,4.90,1.55,1.50,2.30,1.47,1.50,1.37,2.70,1,1,1,3.55,1,0
19,1.99,1.99,9.00,4.95,1.55,1.50,2.30,1.48,1.50,1.36,2.70,1,1,1,3.55,1,0
20,1.99,1.99,9.00,5.00,1.55,1.50,2.25,1.49,1.50,1.35,2.75,1,1,1,3.55,1,0
21,1.99,1.99,9.00,5.00,1.54,1.50,2.20,1.50,1.50,1.34,2.80,1,1,1,3.55,1,0
22,1.99,1.99,9.00,5.00,1.54,1.50,2.20,1.52,0.50,2.80,1.34,1,1,1,3.55,1,0
23,1.99,1.99,9.00,5.00,1.53,1.50,2.15,1.53,0.50,2.80,1.34,1,1,1,3.50,1,0
24,1.99,1.99,9.00,5.00,1.53,1.50,2.15,1.54,0.50,2.75,1.35,1,1,1,3.50,1,0
25,1.99,1.99,9.00,5.00,1.52,1.50,2.10,1.55,0.50,2.70,1.36,1,1,1,3.50,1,0
26,1.99,1.99,9.00,5.00,1.52,1.50,2.10,1.57,0.50,2.65,1.37,1,1,1,3.50,1,0
27,1.99,1.99,9.00,5.00,1.52,1.50,2.05,1.58,0.50,2.60,1.39,1,1,1,3.50,1,0
28,1.99,1.99,9.00,5.50,1.51,1.50,2.00,1.59,0.50,2.60,1.40,1,1,1,3.50,1,0
29,1.99,1.99,9.00,5.50,1.50,1.50,2.00,1.61,0.50,2.50,1.41,1,1,1,3.50,1,0
30,1.99,1.99,9.00,5.50,1.50,1.50,2.00,1.62,0.50,2.50,1.42,1,1,1,3.50,1,0
31,1.99,1.99,9.00,5.50,1.50,1.50,1.97,1.64,0.50,2.45,1.43,1,1,1,3.50,1,0
32,1.99,1.99,9.00,6.00,1.49,1.50,1.94,1.66,0.50,2.40,1.44,1,1,1,3.50,1,0
33,1.99,1.99,9.00,6.00,1.48,1.50,1.91,1.67,0.50,2.40,1.45,1,1,1,3.50,1,0
34,1.99,1.99,9.00,6.00,1.48,1.50,1.89,1.69,0.50,2.35,1.47,1,1,1,3.50,1,0
35,1.99,1.99,9.00,6.00,1.47,1.50,1.86,1.71,0.50,2.30,1.48,1,1,1,3.50,1,0
36,1.99,1.99,9.00,6.00,1.47,1.50,1.83,1.73,0.50,2.25,1.49,1,1,1,3.50,1,0
37,1.99,1.99,9.00,6.50,1.46,1.50,1.81,1.75,0.50,2.20,1.51,1,1,1,3.45,1,0
38,1.99,1.99,9.00,6.50,1.46,1.50,1.79,1.77,0.50,2.20,1.52,1,1,1,3.45,1,0
39,1.99,1.99,9.00,6.50,1.45,1.50,1.76,1.80,0.50,2.15,1.54,1,1,1,3.45,1,0
40,1.99,1.99,9.00,7.00,1.45,1.50,1.74,1.82,0.50,2.10,1.55,1,1,1,3.45,1,0
41,1.99,1.99,9.00,7.00,1.44,1.50,1.72,1.85,0.50,2.05,1.57,1,1,1,3.45,1,0
42,1.99,1.99,9.00,7.00,1.44,1.50,1.70,1.88,0.50,2.05,1.58,1,1,1,3.45,1,0
43,1.99,1.99,9.00,7.50,1.43,1.50,1.68,1.90,0.50,2.00,1.60,1,1,1,3.45,1,0
44,1.99,1.99,9.00,7.50,1.43,1.50,1.66,1.93,0.50,2.00,1.62,1,1,1,3.45,1,0
45,1.99,1.99,9.00,5.00,1.61,1.50,1.69,1.89,0.50,2.55,1.40,1,1,1,3.25,1,0
46,1.99,1.99,9.00,5.00,1.60,1.50,1.66,1.92,0.50,2.50,1.42,1,1,1,3.20,1,0
